strain,ens_gene,log_bleach,log_settle
CB4856,WBGene00020478,4.08123248000589,4.95389879263054
CB4856,WBGene00020479,6.07129068120782,6.58135014711707
CB4856,WBGene00020480,9.20621677506228,9.39691036953897
CB4856,WBGene00020481,13.1283727269808,13.0632228303857
CB4856,WBGene00020482,4.50365691040765,4.87145418471869
CB4856,WBGene00020483,2.80369040976591,2.47346163983063
CB4856,WBGene00020484,2.5345615567146,4.49252461455536
CB4856,WBGene00020486,7.67244415330866,7.87222878884705
CB4856,WBGene00020487,2.03593624636103,3.28606605348172
CB4856,WBGene00020489,5.99359600825389,6.1746891793675
CB4856,WBGene00020490,8.04300147231408,7.83402394070465
CB4856,WBGene00020491,7.51523009428427,7.3947362923928
CB4856,WBGene00020496,10.9253675209721,11.0500756382757
CB4856,WBGene00020497,6.50093398356585,6.71148132687115
CB4856,WBGene00020498,11.0020621673375,10.853685158651
CB4856,WBGene00020499,9.48194216132437,9.90467901037794
CB4856,WBGene00020500,10.3359625465106,10.7650295589057
CB4856,WBGene00020501,6.46450016075429,6.51062493049348
CB4856,WBGene00020502,6.1100822614204,6.41887066655149
CB4856,WBGene00020503,3.66611067588635,3.319213682637
CB4856,WBGene00020504,10.8612935335335,10.3461281276254
CB4856,WBGene00020506,5.73325042183974,5.15005262946788
CB4856,WBGene00020507,12.4066185870872,12.4525189290727
CB4856,WBGene00020508,8.06188432769261,8.13012033474088
CB4856,WBGene00020509,11.538351884935,11.1933983902152
CB4856,WBGene00020510,8.72358984440329,8.64402509532911
CB4856,WBGene00020511,11.2924383259702,11.1221920858385
CB4856,WBGene00020516,10.9076547632068,10.8414627848492
CB4856,WBGene00020517,12.1381352622622,11.9961870121274
CB4856,WBGene00020526,4.55090390378525,4.41304013748453
CB4856,WBGene00020527,4.08880462657923,3.94246941669945
CB4856,WBGene00020528,6.97146828649447,7.04497999125738
CB4856,WBGene00020530,10.0094818777034,9.59295931899258
CB4856,WBGene00020531,7.04126210027655,6.75811869237774
CB4856,WBGene00020532,6.42000814444331,5.80183217382733
CB4856,WBGene00020533,4.91674823213164,3.77435133056765
CB4856,WBGene00020534,6.37313427422934,6.00658135797
CB4856,WBGene00020537,6.91376558064323,6.75085580739361
CB4856,WBGene00020540,6.05973379834227,6.1024068757647
CB4856,WBGene00020541,3.47077299753416,4.24463196270271
CB4856,WBGene00020542,2.68684045156686,3.53972954807602
CB4856,WBGene00020543,3.72599218317109,4.01670769353559
CB4856,WBGene00020544,3.24817736427594,3.11623846066434
CB4856,WBGene00020549,11.4210875119244,11.4549032076338
CB4856,WBGene00020550,7.09055944267785,7.72544367910558
CB4856,WBGene00020551,7.63526550766009,7.4294431223355
CB4856,WBGene00020553,12.038122585968,11.7810563901693
CB4856,WBGene00020554,6.98452425625488,7.21903553767321
CB4856,WBGene00020555,4.47086145693415,3.26326541199987
CB4856,WBGene00020556,9.19279670850004,9.12593546405069
CB4856,WBGene00020557,10.5362413670241,10.7760024745644
CB4856,WBGene00020558,11.5198589063816,11.4243835633379
CB4856,WBGene00020559,7.83735541590681,7.46941848730009
CB4856,WBGene00020560,7.14037998164125,7.11107989822991
CB4856,WBGene00020561,6.33368594141244,6.45867865246547
CB4856,WBGene00020562,10.103422166076,9.98838239003267
CB4856,WBGene00020563,7.50994420293932,7.75938584402329
CB4856,WBGene00020566,8.48093235013506,8.18543224232056
CB4856,WBGene00020567,8.94994512150111,8.5983357189161
CB4856,WBGene00020568,5.95356079082437,5.91896525048988
CB4856,WBGene00020569,7.49324405176436,7.72165181734244
CB4856,WBGene00020571,4.70304656891022,5.38415558010615
CB4856,WBGene00020572,7.83743097223464,7.43092334639425
CB4856,WBGene00020573,3.53875896987011,3.92274581358035
