comparison,ens_gene,baseMean,log2FoldChange,fold,iCEL
BRC20067_vs_N2,WBGene00009087,94.1582745398041,-4.40527735067433,down,No
BRC20067_vs_N2,WBGene00009089,107.980401798265,2.12977688679234,up,No
BRC20067_vs_N2,WBGene00009154,20.4762637281755,1.7311998302022,up,No
BRC20067_vs_N2,WBGene00009166,18.6577333466313,-1.10333688941242,down,No
BRC20067_vs_N2,WBGene00009212,423.873516047677,1.94188696562788,up,No
BRC20067_vs_N2,WBGene00009213,52.6034713810724,-1.45555603720862,down,No
BRC20067_vs_N2,WBGene00009216,48.9208644777211,-0.698391047645292,down,No
BRC20067_vs_N2,WBGene00009221,8964.38840570234,-1.60895176726881,down,Yes
BRC20067_vs_N2,WBGene00009231,28.4751594702779,-1.70609821817271,down,No
BRC20067_vs_N2,WBGene00009291,117.526569979602,-0.644611904582851,down,No
BRC20067_vs_N2,WBGene00009343,26.1427394985237,2.53293477067969,up,No
BRC20067_vs_N2,WBGene00009361,229.954380554821,1.46991562945973,up,No
BRC20067_vs_N2,WBGene00009393,1351.46486308658,-0.79889076926858,down,No
BRC20067_vs_N2,WBGene00009397,369.839763534551,-0.635498840243761,down,No
BRC20067_vs_N2,WBGene00009427,37.3543097138478,0.970633828552088,up,No
BRC20067_vs_N2,WBGene00009430,1865.32288831626,0.686279691042704,up,No
BRC20067_vs_N2,WBGene00009501,168.174996821956,1.65697404121767,up,No
BRC20067_vs_N2,WBGene00009523,37.7527297612086,0.931705422128047,up,No
BRC20067_vs_N2,WBGene00009526,463.159931171184,-1.12376902288779,down,No
BRC20067_vs_N2,WBGene00009529,43.6456907743689,-1.0113546997537,down,No
BRC20067_vs_N2,WBGene00009543,52.08728139803,0.720541062352348,up,No
BRC20067_vs_N2,WBGene00009592,75.321721374551,-9.82503090454399,down,No
BRC20067_vs_N2,WBGene00009622,16.6453755181071,0.795888713745639,up,Yes
BRC20067_vs_N2,WBGene00009626,1913.71790626909,0.62258033041748,up,No
BRC20067_vs_N2,WBGene00009644,38.1001904253898,-1.59556307615855,down,No
